valor,codigo
Q00.0 Anencefalia,Q000
Q00.1 Craniorraquisquise,Q001
Q00.2 Iniencefalia,Q002
Q01.0 Encefalocele frontal,Q010
Q01.1 Encefalocele nasofrontal,Q011
Q01.2 Encefalocele occipital,Q012
Q01.8 Encefalocele de outr localiz,Q018
Q01.9 Encefalocele NE,Q019
Q02   Microcefalia,Q02 
Q02   Microcefalia,Q02X
Q03.0 Malformacoes do aqueduto de Sylvius,Q030
Q03.1 Atresia fendas Luschka e foramen Magendie,Q031
Q03.8 Outr hidrocefalia congen,Q038
Q03.9 Hidrocefalia congen NE,Q039
Q04.0 Malformacoes congen do corpo caloso,Q040
Q04.1 Arrinencefalia,Q041
Q04.2 Holoprosencefalia,Q042
Q04.3 Outr deform p/reducao do encefalo,Q043
Q04.4 Displasia do septo e das vias opticas,Q044
Q04.5 Megalencefalia,Q045
Q04.6 Cistos cerebrais congen,Q046
Q04.8 Outr malformacoes congen espec do encefalo,Q048
Q04.9 Malformacao congen NE do encefalo,Q049
Q05.0 Espinha bifida cervical c/hidrocefalia,Q050
Q05.1 Espinha bifida toracica c/hidrocefalia,Q051
Q05.2 Espinha bifida lombar c/hidrocefalia,Q052
Q05.3 Espinha bifida sacra c/hidrocefalia,Q053
Q05.4 Espinha bifida NE c/hidrocefalia,Q054
Q05.5 Espinha bifida cervical s/hidrocefalia,Q055
Q05.6 Espinha bifida toracica s/hidrocefalia,Q056
Q05.7 Espinha bifida lombar s/hidrocefalia,Q057
Q05.8 Espinha bifida sacra s/hidrocefalia,Q058
Q05.9 Espinha bifida NE,Q059
Q06.0 Amielia,Q060
Q06.1 Hipoplasia e displasia da medula espinal,Q061
Q06.2 Diastematomielia,Q062
Q06.3 Outr malformacoes congen da cauda equina,Q063
Q06.4 Hidromielia,Q064
Q06.8 Outr malform congen espec medula espinal,Q068
Q06.9 Malformacao congen NE da medula espinal,Q069
Q07.0 Sindr de Arnold-Chiari,Q070
Q07.8 Outr malformacoes congen espec sist nervoso,Q078
Q07.9 Malformacao congen NE do sist nervoso,Q079
Q10.0 Ptose congen,Q100
Q10.1 Ectropio congen,Q101
Q10.2 Entropio congen,Q102
Q10.3 Outr malformacoes congen das palpebras,Q103
Q10.4 Ausencia ou agenesia do aparelho lacrimal,Q104
Q10.5 Estenose ou estreit congen canal lacrimal,Q105
Q10.6 Outr malformacoes congen aparelho lacrimal,Q106
Q10.7 Malformacao congen da orbita,Q107
Q11.0 Olho cistico,Q110
Q11.1 Outr form de anoftalmia,Q111
Q11.2 Microftalmia,Q112
Q11.3 Macroftalmia,Q113
Q12.0 Catarata congen,Q120
Q12.1 Luxacao congen do cristalino,Q121
Q12.2 Coloboma do cristalino,Q122
Q12.3 Afaquia congen,Q123
Q12.4 Esferofaquia,Q124
Q12.8 Outr malformacoes congen do cristalino,Q128
Q12.9 Malformacao congen NE do cristalino,Q129
Q13.0 Coloboma da iris,Q130
Q13.1 Ausencia de iris,Q131
Q13.2 Outr malformacoes congen da iris,Q132
Q13.3 Opacidade congen da cornea,Q133
Q13.4 Outr malformacoes congen da cornea,Q134
Q13.5 Esclerotica azul,Q135
Q13.8 Outr malform congen camara anterior olho,Q138
Q13.9 Malformacao congen NE camara anterior olho,Q139
Q14.0 Malformacao congen do humor vitreo,Q140
Q14.1 Malformacao congen da retina,Q141
Q14.2 Malformacao congen do disco optico,Q142
Q14.3 Malformacao congen da coroide,Q143
Q14.8 Outr malform congen camara posterior olho,Q148
Q14.9 Malformacao congen NE camara posterior olho,Q149
Q15.0 Glaucoma congen,Q150
Q15.8 Outr malformacoes congen espec do olho,Q158
Q15.9 Malformacao congen NE do olho,Q159
Q16.0 Ausencia congen do pavilhao auricular,Q160
