valor,codigo
N Informado,
POSTO DE SAUDE PARQUE AGUA LIMPA,0000001
H CLIN MAT DR MARCHESAN,0000011
HOSPITAL UNIMED ANTIGO SAO LUCAS,0000017
SES HOSP ESTADUAL PREFEITO JOAO BAPTISTA CAFFARO,0000018
POLICLINICA DR JAMACI DE MEDEIROS,0000019
CLINICA SAO LUCAS,0000020
HOSPITAL MUNICIPAL DR FERNANDO PEREIRA SILVA,0000021
HOSPITAL DO PROGRESSO STA CATARINA,0000023
CENTRO HOSPITALAR DA POLICIA MILITAR,0000025
HOSPITAL E MATERNIDADE ANA NERY,0000026
CASA DE SAUDE SANTA HELENA,0000027
MATERNIDADE SANTA CLARA,0000029
HOSPITAL GERAL DO EXERCITO,0000030
HOSPITAL MEMORIAL BOA VISTA,0000033
HOSPITAL SAO MATEUS SAME,0000034
HOSPITAL MENDO SAMPAIO,0000035
HOSPITAL MEMORIAL DO RECIFE,0000036
HOSPITAL JAYME DA FONTE,0000040
HOSPITAL UNIMED,0000044
HOSPITAL GERAL DO EXERCITO,0000046
HOSPITAL NOSSA SRA DO SOCORRO,0000049
HOSPITAL SANTA CATARINA,0000052
HOSPITAL NAVAL DE LADARIO,0000053
CLIMESP,0000054
GRAMEG,0000055
CASA DE SAUDE SAO SEBASTIAO,0000056
HOSPITAL E MATERNIDADE SINO BRASILEIRO,0000057
PRONTO SOCORRO DR ANDRE SACCO,0000058
PRONTO SOCORRO DR OSMAR MESQUITA,0000059
HOSPITAL MUNICIPAL DA MULHER,0000061
HOSP MATERNIDADE VIDA NOVA ABELA ABBA BERNARDELLI,0000062
HOSPITAL CENTRAL DO EXERCITO HCE,0000063
HOSPITAL CENTRAL DA AERONAUTICA,0000064
POLICLINICA MILITAR DO RIO DE JANEIRO,0000065
HOSPITAL DA FORCA AEREA DO GALEAO,0000069
HOSPITAL METROPOLITANO MONTE SIAO,0000070
PRO VIDA SERV MED TER INT LTDA,0000073
HOSPITAL DA AERONAUTICA CAMPO DOS AFONSOS,0000076
POLICLINICA GUARN VILA MILITAR,0000077
MATERNIDADE DO BRAS,0000080
HOSPITAL ALBERT SABIN    IMIRIM,0000081
HOSPITAL MUNICIPAL RENATO A FILHO,0000082
HOSPITAL DA BASE AEREA DE CAMPO GRANDE,0000084
HOSPITAL INST DE DIAG E TRAT DE DOENCAS,0000087
HOSP MUN LEONEL DE MOURA BRIZOLA,0000088
CASA DE REPOUSO SANTA PAULINA,0000089
CASA DE REPOUSO RENASCER,0000090
CASA DE REPOUSO GERIATRICA NOSSA SENHORA DE FATIMA,0000092
RESIDENCIAL GERIATRICO SANTA CARATINA,0000093
MATERNIDADE PADRE GERALDO LEITE BASTOS,0000094
RECANTO PARA IDOSOS SAO JUDAS TADEU LTDA,0000095
RECANTO DA TERCEIRA IDADE LIDIA ROSA LTDA ME,0000096
HOSPITAL NALDO LUZA N GUIMARAES,0000097
HOSPITAL UNIMED DE MACAE,0000098
HOSPITAL MUNICIPAL PREF AURELINO GONCALVES BARBOSA,0000099
HOSPITAL MUNICIPAL RODOLFO PERISSE,0000100
POSTO DE SAUDE DE CUMARU DO NORTE,0000103
UNIDADE MISTA DE SAUDE DO JORDAO,0000104
CLINICA MATERNIDADE ESPERANCA E VIDA,0000105
HOSPITAL UNIMED,0000106
CASA DE SAUDE MATERNIDADE CABO FRIO,0000110
MED WORD PRO CORACAO,0000111
CLINICA AMMI,0000112
IPES,0000113
PRONTO ATENDIMENTO UNIMED RIO BRANCO,0000115
HOSPITAL MATERNO INFANTIL,0000117
NORCLINICAS INTERMEDICA,0000120
HOSPITAL E MATERNIDADE SAO PEDRO,0000125
HOSPITAL MUNICIPAL DE RIO DAS OSTRAS,0000126
HOSPITAL MUNICIPAL ANDRE MAGGI,0000127
HOSPITAL GERAL DO EXERCITO,0000130
ABRIGO DO SALVADOR,0000134
HOSPITAL DA POLICIA MILITAR DO ESTADO DA BAHIA,0000138
HOSPITAL SAO VICENTE DE PAULO,0000141
CLINICA SAO VICENTE,0000143
HOSPITAL SAO LUCAS,0000146
UNIDADE DO CANCER DE ALAGOAS,0000147
HOSPITAL SAO SEBASTIAO DA UNIMED,0000150
CLINICA SAO FRANCISCO,0000152
PROMATER,0000153
UAPI SOCORRO GABRIEL,0000155
HOSPITAL ADVENTISTA DE BELEM,0000156
HOSPITAL DO CORACAO,0000158
MATERNIDADE MODELO,0000161
HOSPITAL MUNICIPAL DA MULHER,0000164
HOSPITAL DE PORTO TROMBETAS,0000168
UNIMED,0000172
HOSPITAL MUNICIPAL,0000176
HOSPITAL E MATERNIDADE SAO LUCAS,0000177
UNIMED,0000178
CASA MATERNAL NOSSA SENHORA DO BOM PARTO,0000182
HOSPITAL SAMARITANO,0000183
CLINICA OBSTETRICA DR DORENILDO,0000185
HOSPITAL E MATERNIDADE NOSSA SENHORA DAS MERCES,0000187
CASA DE SAUDE ALCANTARA SA,0000189
HOSPITAL SAO LUCAS,0000192
HOSPITAL SAO JOSE,0000193
CLIMMAPE,0000194
CASA DE PARTO NORMAL DR GERALDO DE OLIVEIRA PASSOS,0000195
HOSPITAL GERAL DE BELEM,0000198
HOSPITAL DA POLICIA MILITAR,0000199
CLINICA DE ASSISTENCIA MEDICA ODONTO ANCHIETA LTDA,0000208
POLICLINICA DONA BEATRIZ,0000211
CLINICA SANTA MARTA,0000214
SAMOC SA SOCIEDADE ASSIST MEDICA ODONTO CIRURGICA,0000216
ASSOCIACAO DE SUBOFICIAIS E SARGENTOS DA MARINHA,0000217
CENTRO FORMACAO SOCIAL ABRIGO DO CRISTO REDENTOR,0000219
CENTRO MEDICO DOIS IRMAOS LTDA,0000220
HOSPITAL SAO SEBASTIAO,0000221
HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,0000226
CLINICA MEDICA CANDELARIA,0000228
CASA DE PARTO SAPOPEMBA,0000229
HOSPITAL ALVORADA CHACARA FLORA,0000231
UNIDADE MUNICIPAL DO DISTRITO INDUSTRIAL,0000232
UNIDADE DE URGENCIA E EMERGENCIA BR,0000233
HOSPITAL METROPOLITANO,0000234
MEMORIAL FUAD CHIDID SANTA CRUZ,0000236
PRONTO SOCORRO DR NESTOR PIVA,0000237
CASA DE REPOUSO SAGRADA FAMILIA,0000242
CLINICA GERIATRICA SANTA INES SC LTDA,0000243
HOSPITAL DE GUARNIÃAO DE FLORIANOPOLIS,0000244
SERTE-SOCIEDADE ESPIRITA DE RECUPERAÃAO TRABALHO E,0000250
SUAVE IDADE RESIDENCIAL GERIATRICO LTDA ME,0000251
MATERNIDADE PEGGIE BENTO,0000252
HOSPITAL E MATERNIDADE FEMINA,0000254
HOSPITAL DR CARLOS FIRPO,0000255
HOSPITAL E MATERNIDADE UNIMED,0000257
UNIDADE MISTA DE SAUDE E MATERNIDADE DONA CACULA,0000260
HOSPITAL REGIONAL DR GERALDO VELOSO,0000261
HOSPITAL E MATER MARIA PUREZA ALVES DOS SANTOS,0000263
MATERNIDADE MUNICIPAL MAE ESPERANCA,0000265
HOSPITAL LUIS EDUARDO MAGALHAES,0000266
HOSPITAL DE URGENCIAS DE TRINDADE,0000267
HOSPITAL DO OESTE,0000269
HOSPITAL MUNICIPAL DE ANAGE,0000271
AMENO SERVICO OPERACIONAL DE SAUDE SS LTDA,0000274
HOSPITAL E MATERNIDADE MAUA,0000277
CLINICA INTEGRADA DE ATENDIMENTO MEDICO  CIAM,0000283
HOSPITAL DAS CLINICAS SAO SEBASTIAO,0000285
CLINICA BENEFICIENTE GUANABARA,0000286
POLICLINICA VILA KENEDY,0000287
CENTRO MED ODONTO MED TRAB SAO FRANCISCO DE ASSIS,0000289
CASA DE SAUDE SAO SEBASTIAO,0000323
HOSPITAL NOSSA SENHORA APARECIDA,0000339
HOSPITAL EDUARDO RABELO,0000375
HOSPITAL DAS CLINICAS,0000396
HOSP ESCOLAR DA ACADEMIA MILITAR DOS AGULHAS NEGRA,0000402
HOSPITAL AGAMENON MAGALHAES,0000418
HOSPITAL GERAL OTAVIO DE FREITAS,0000426
IMIP,0000434
HOSPITAL OSWALDO CRUZ,0000477
US 159 POLICLINICA AGAMENON MAGALHAES,0000531
US 217 CENTRO MEDICO SEN JOSE ERMIRIO DE MORAES,0000558
CASA DE SAUDE MARIA LUCINDA,0000566
HOSPITAL DE CANCER DE PERNAMBUCO,0000582
US 169 POLICLINICA AMAURY COUTINHO,0000604
HOSPITAL DA RESTAURACAO,0000655
US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES,0000671
US 115  CS GERALDO BARRETO CAMPELO,0000698
US 165 MATERNIDADE BANDEIRA FILHO,0000701
US 161 CS PROF ROMERO MARQUES,0000760
LUCIANE MARIA DE ALMEIDA LEITE,0000787
FUNDACAO HEMOPE,0000809
US 137 CS DR DJAIR BRINDEIRO,0000833
US 142 CS BIDU KRAUSE,0000868
US 138 CS DR LUIZ WILSOM,0000876
PCO,0000884
US 164 CENTRO DE REIDRATACAO E URG PED M CRAVO GAM,A0000930
HOSPITAL CORREIA PICANCO,0000981
US 163 UNIDADE PEDIATRICA HELENA MOURA,0001015
REAL HOSPITAL PORTUGUES,0001120
UNIRIM,0001449
HOSPITAL ULISSES PERNAMBUCANODA TAMARINEIRA,0001546
CASA DE SAUDE SAO JOSE,0001554
CLINICA PSIQUIATRICA SANTO ANTONIO DE PADUA,0001570
NEFROCLINICA,0001694
MULTIMAGEM,0002003
PRONTO RIM,0002038
NEFROCENTRO,0002119
US OSVALDO LEITE TERRA DURA,0002216
HOSPITAL SANTA IZABEL,0002232
HOSPITAL SAO JOSE,0002275
HOSPITAL DE CIRURGIA,0002283
HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO,0002372
LACLISE,0002488
HOSPITAL UNIVERSITARIO,0002534
HOSPITAL SAO LUCAS,0002585
CLINICA SANTA HELENA,0002593
HOSPITAL DA POLICIA MILITAR,0003077
CLINICA DE REPOUSO SAO MARCELLO LTDA,0003085
CATOP,0003220
PA 24 HORAS JOSE AUGUSTO BARRETO,0003727
CASA DE SAUDE SANTA MARIA,0003743
HOSPITAL SAO JORGE,0003778
HOSPITAL ARISTIDES MALTEZ,0003786
INSTITUTO DE PERINATOLOGIA DA BAHIA,0003794
HOSPITAL SAO RAFAEL,0003808
HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS,0003816
NEPHRON BARRIS,0003824
HOSPITAL SANTA ISABEL,0003832
MATERNIDADE ALBERT SABIN,0003840
HOSPITAL GERAL ROBERTO SANTOS,0003859
