valor,codigo
N Informado,
00 Hora a 59Min,00
00 Hora a 59Min,24
01 Hora a 01:59,01
02 Horas a 02:59,02
03 Horas a 03:59,03
04 Horas a 04:59,04
05 Horas a 05:59,05
06 Horas a 06:59,06
07 Horas a 07:59,07
08 Horas a 08:59,08
09 Horas a 09:59,09
10 Horas a 10:59,10
11 Horas a 11:59,11
12 Horas a 12:59,12
13 Horas a 13:59,13
14 Horas a 14:59,14
15 Horas a 15:59,15
16 Horas a 16:59,16
17 Horas a 17:59,17
18 Horas a 18:59,18
19 Horas a 19:59,19
20 Horas a 20:59,20
21 Horas a 21:59,21
22 Horas a 22:59,22
23 Horas a 23:59,23
,
