valor,codigo
Ign,0
Ign,1
Ign,2
Ign,3
Ign,4
Ign,5
Ign,6
Ign,7
Ign,8
Ign,9
Ign,10
Ign,11
Ign,12
Ign,13
Ign,14
Ign,15
Ign,16
Ign,17
Ign,18
Ign,19
Ign,20
Ign,21
Ign,22
Ign,23
Ign,24
Ign,25
Ign,26
Ign,27
Ign,28
Ign,29
Ign,30
Ign,31
Ign,32
Ign,33
Ign,34
Ign,35
Ign,36
Ign,37
Ign,38
Ign,39
Ign,40
Ign,41
Ign,42
Ign,43
Ign,44
Ign,45
Ign,46
Ign,47
Ign,48
Ign,49
Ign,50
Ign,51
Ign,52
Ign,53
Ign,54
Ign,55
Ign,56
Ign,57
Ign,58
Ign,59
Ign,60
Ign,61
Ign,62
Ign,63
Ign,64
Ign,65
Ign,66
Ign,67
Ign,68
Ign,69
Ign,70
Ign,71
Ign,72
Ign,73
Ign,74
Ign,75
Ign,76
Ign,77
Ign,78
Ign,79
Ign,80
Ign,81
Ign,82
Ign,83
Ign,84
Ign,85
Ign,86
Ign,87
Ign,88
Ign,89
Ign,90
Ign,91
Ign,92
Ign,93
Ign,94
Ign,95
Ign,96
Ign,97
Ign,98
Ign,99
<de 10,1
<de 10,2
<de 10,3
<de 10,4
<de 10,5
<de 10,6
<de 10,7
<de 10,8
<de 10,9
10-14,10
10-14,11
10-14,12
10-14,13
10-14,14
15-20,15
15-20,16
15-20,17
15-20,18
15-20,19
15-20,20
21-30,21
21-30,22
21-30,23
21-30,24
21-30,25
21-30,26
21-30,27
21-30,28
21-30,29
21-30,30
31-40,31
31-40,32
31-40,33
31-40,34
31-40,35
31-40,36
31-40,37
31-40,38
31-40,39
31-40,40
41-50,41
41-50,42
41-50,43
41-50,44
41-50,45
41-50,46
41-50,47
41-50,48
41-50,49
41-50,50
51-55,51
51-55,52
51-55,53
51-55,54
51-55,55
56-60,56
56-60,57
56-60,58
56-60,59
56-60,60
61e+,61
61e+,62
61e+,63
61e+,64
61e+,65
61e+,66
61e+,67
61e+,68
61e+,69
61e+,70
