valor,codigo
110001 Alta Floresta D'Oeste,110001
110037 Alto Alegre dos Parecis,110037
110040 Alto Paraíso,110040
110034 Alvorada D'Oeste,110034
110002 Ariquemes,110002
110045 Buritis,110045
110003 Cabixi,110003
110060 Cacaulândia,110060
110004 Cacoal,110004
110070 Campo Novo de Rondônia,110070
110080 Candeias do Jamari,110080
110090 Castanheiras,110090
110005 Cerejeiras,110005
110092 Chupinguaia,110092
110006 Colorado do Oeste,110006
110007 Corumbiara,110007
110008 Costa Marques,110008
110094 Cujubim,110094
110009 Espigão D'Oeste,110009
110100 Governador Jorge Teixeira,110100
110010 Guajará-Mirim,110010
110110 Itapuã do Oeste,110110
110011 Jaru,110011
110012 Ji-Paraná,110012
110013 Machadinho D'Oeste,110013
110120 Ministro Andreazza,110120
110130 Mirante da Serra,110130
110140 Monte Negro,110140
110014 Nova Brasilândia D'Oeste,110014
110033 Nova Mamoré,110033
110143 Nova União,110143
110050 Novo Horizonte do Oeste,110050
110015 Ouro Preto do Oeste,110015
110145 Parecis,110145
110018 Pimenta Bueno,110018
110146 Pimenteiras do Oeste,110146
110020 Porto Velho,110020
110025 Presidente Médici,110025
110147 Primavera de Rondônia,110147
110026 Rio Crespo,110026
110028 Rolim de Moura,110028
110029 Santa Luzia D'Oeste,110029
110148 São Felipe D'Oeste,110148
110149 São Francisco do Guaporé,110149
110032 São Miguel do Guaporé,110032
110150 Seringueiras,110150
110155 Teixeirópolis,110155
110160 Theobroma,110160
110170 Urupá,110170
110175 Vale do Anari,110175
110180 Vale do Paraíso,110180
110030 Vilhena,110030
110000 Município ignorado - RO,110000
110000 Município ignorado - RO,119999
120001 Acrelândia,120001
120005 Assis Brasil,120005
120010 Brasiléia,120010
120013 Bujari,120013
120017 Capixaba,120017
120020 Cruzeiro do Sul,120020
120025 Epitaciolândia,120025
120030 Feijó,120030
120032 Jordão,120032
120033 Mâncio Lima,120033
120034 Manoel Urbano,120034
120035 Marechal Thaumaturgo,120035
120038 Plácido de Castro,120038
120080 Porto Acre,120080
120039 Porto Walter,120039
120040 Rio Branco,120040
120042 Rodrigues Alves,120042
120043 Santa Rosa do Purus,120043
120050 Sena Madureira,120050
120045 Senador Guiomard,120045
120060 Tarauacá,120060
120070 Xapuri,120070
120000 Município ignorado - AC,120000
120000 Município ignorado - AC,129999
130002 Alvarães,130002
130002 Alvarães,130029
130006 Amaturá,130006
130008 Anamã,130008
130010 Anori,130010
130014 Apuí,130014
130020 Atalaia do Norte,130020
130030 Autazes,130030
130040 Barcelos,130040
130050 Barreirinha,130050
130060 Benjamin Constant,130060
130063 Beruri,130063
130068 Boa Vista do Ramos,130068
130070 Boca do Acre,130070
130080 Borba,130080
130083 Caapiranga,130083
130090 Canutama,130090
130100 Carauari,130100
130110 Careiro,130110
130115 Careiro da Várzea,130115
130120 Coari,130120
130130 Codajás,130130
130140 Eirunepé,130140
130150 Envira,130150
130160 Fonte Boa,130160
130165 Guajará,130165
130170 Humaitá,130170
130180 Ipixuna,130180
130185 Iranduba,130185
130190 Itacoatiara,130190
130195 Itamarati,130195
130200 Itapiranga,130200
130210 Japurá,130210
130220 Juruá,130220
130230 Jutaí,130230
130240 Lábrea,130240
130250 Manacapuru,130250
130255 Manaquiri,130255
130260 Manaus,130260
130260 Manaus,132603
130270 Manicoré,130270
130280 Maraã,130280
130290 Maués,130290
130300 Nhamundá,130300
130310 Nova Olinda do Norte,130310
130320 Novo Airão,130320
130330 Novo Aripuanã,130330
130340 Parintins,130340
130340 Parintins,133403
130350 Pauini,130350
130353 Presidente Figueiredo,130353
130356 Rio Preto da Eva,130356
130360 Santa Isabel do Rio Negro,130360
130370 Santo Antônio do Içá,130370
130380 São Gabriel da Cachoeira,130380
130390 São Paulo de Olivença,130390
130395 São Sebastião do Uatumã,130395
130400 Silves,130400
130406 Tabatinga,130406
130410 Tapauá,130410
130420 Tefé,130420
130423 Tonantins,130423
130426 Uarini,130426
130430 Urucará,130430
130440 Urucurituba,130440
130000 Município ignorado - AM,130000
130000 Município ignorado - AM,139999
140005 Alto Alegre,140005
140002 Amajari,140002
140010 Boa Vista,140010
140010 Boa Vista,140100
140015 Bonfim,140015
140017 Cantá,140017
140020 Caracaraí,140020
140023 Caroebe,140023
140028 Iracema,140028
140030 Mucajaí,140030
140040 Normandia,140040
140045 Pacaraima,140045
140047 Rorainópolis,140047
140050 São João da Baliza,140050
140060 São Luiz,140060
140070 Uiramutã,140070
140000 Município ignorado - RR,140000
140000 Município ignorado - RR,149999
150010 Abaetetuba,150010
150013 Abel Figueiredo,150013
150020 Acará,150020
150030 Afuá,150030
150034 Água Azul do Norte,150034
150040 Alenquer,150040
150050 Almeirim,150050
150060 Altamira,150060
150070 Anajás,150070
150080 Ananindeua,150080
150085 Anapu,150085
150090 Augusto Corrêa,150090
150095 Aurora do Pará,150095
150100 Aveiro,150100
150110 Bagre,150110
150120 Baião,150120
150125 Bannach,150125
150130 Barcarena,150130
150140 Belém,150140
150145 Belterra,150145
150150 Benevides,150150
150157 Bom Jesus do Tocantins,150157
150160 Bonito,150160
150170 Bragança,150170
150172 Brasil Novo,150172
150175 Brejo Grande do Araguaia,150175
150178 Breu Branco,150178
150180 Breves,150180
150190 Bujaru,150190
150200 Cachoeira do Arari,150200
150195 Cachoeira do Piriá,150195
150210 Cametá,150210
150215 Canaã dos Carajás,150215
150220 Capanema,150220
150230 Capitão Poço,150230
150240 Castanhal,150240
150250 Chaves,150250
150260 Colares,150260
150270 Conceição do Araguaia,150270
150275 Concórdia do Pará,150275
150276 Cumaru do Norte,150276
150277 Curionópolis,150277
150280 Curralinho,150280
150285 Curuá,150285
150290 Curuçá,150290
150293 Dom Eliseu,150293
150295 Eldorado dos Carajás,150295
150300 Faro,150300
150304 Floresta do Araguaia,150304
150307 Garrafão do Norte,150307
150309 Goianésia do Pará,150309
150310 Gurupá,150310
150320 Igarapé-Açu,150320
150330 Igarapé-Miri,150330
150340 Inhangapi,150340
150345 Ipixuna do Pará,150345
150350 Irituia,150350
150360 Itaituba,150360
150370 Itupiranga,150370
150375 Jacareacanga,150375
150380 Jacundá,150380
150390 Juruti,150390
150400 Limoeiro do Ajuru,150400
150405 Mãe do Rio,150405
150410 Magalhães Barata,150410
150420 Marabá,150420
150430 Maracanã,150430
150440 Marapanim,150440
150442 Marituba,150442
150445 Medicilândia,150445
150450 Melgaço,150450
150460 Mocajuba,150460
150470 Moju,150470
150480 Monte Alegre,150480
150490 Muaná,150490
150495 Nova Esperança do Piriá,150495
150497 Nova Ipixuna,150497
150500 Nova Timboteua,150500
150503 Novo Progresso,150503
150506 Novo Repartimento,150506
150510 Óbidos,150510
150520 Oeiras do Pará,150520
150530 Oriximiná,150530
150540 Ourém,150540
150543 Ourilândia do Norte,150543
150548 Pacajá,150548
150549 Palestina do Pará,150549
150550 Paragominas,150550
150553 Parauapebas,150553
150555 Pau D'Arco,150555
150560 Peixe-Boi,150560
150563 Piçarra,150563
150565 Placas,150565
150570 Ponta de Pedras,150570
150580 Portel,150580
150590 Porto de Moz,150590
150600 Prainha,150600
150610 Primavera,150610
150611 Quatipuru,150611
150613 Redenção,150613
150616 Rio Maria,150616
150618 Rondon do Pará,150618
150619 Rurópolis,150619
150620 Salinópolis,150620
150630 Salvaterra,150630
150635 Santa Bárbara do Pará,150635
150640 Santa Cruz do Arari,150640
150650 Santa Isabel do Pará,150650
150655 Santa Luzia do Pará,150655
150658 Santa Maria das Barreiras,150658
150660 Santa Maria do Pará,150660
150670 Santana do Araguaia,150670
150680 Santarém,150680
150690 Santarém Novo,150690
150700 Santo Antônio do Tauá,150700
150710 São Caetano de Odivelas,150710
150715 São Domingos do Araguaia,150715
150720 São Domingos do Capim,150720
150730 São Félix do Xingu,150730
150740 São Francisco do Pará,150740
150745 São Geraldo do Araguaia,150745
150746 São João da Ponta,150746
150747 São João de Pirabas,150747
150750 São João do Araguaia,150750
150760 São Miguel do Guamá,150760
150770 São Sebastião da Boa Vista,150770
150775 Sapucaia,150775
150780 Senador José Porfírio,150780
150790 Soure,150790
150795 Tailândia,150795
150796 Terra Alta,150796
150797 Terra Santa,150797
150800 Tomé-Açu,150800
150803 Tracuateua,150803
150805 Trairão,150805
150808 Tucumã,150808
150810 Tucuruí,150810
